Rank 2013-14,Institution,Country,Teaching,Research,Citations,Ind. Income,Int. Outlook,Overall Score
86,Freie Universität Berlin,Germany,43.8,58,64.8,34.4,58.7,55.3
87,Technische Universität München,Germany,48.2,35.2,80.7,50.1,63.1,55.2
88,Case Western Reserve University,US,51,38.6,82.8,0,35.4,55
88,Vanderbilt University,US,46.8,38.7,86.5,51,28.6,55
90,University of Notre Dame,US,41.2,34.7,91.8,31.2,47.5,54.7
91,Monash University,Australia,42.5,48.9,65.4,67,78.3,54.6
92,McMaster University ,Canada,35.3,42.7,79.4,86.9,68,54.5
93,"University of California, Irvine",US,37.1,40.8,89.7,44.9,36.4,54.1
94,Humboldt Universitätzu Berlin,Germany,45.6,48.7,68.4,0,54.4,53.8
95,University of Rochester,US,42.8,29.9,89.7,41.4,50.7,53.6
96,Université Pierre et Marie Curie,France,50.2,26.7,82.3,34.4,65.5,53.5
97,University of Colorado Boulder,US,34.2,33.3,97.3,0,40.5,53.4
98,University of Groningen,Netherlands,36,48.6,71.1,87.6,53,52.9
98,Maastricht University,Netherlands,33.1,47.1,65.8,98.2,89.1,52.9
100,University of Helsinki,Finland,35.5,46.5,77.8,30.7,51.3,52.6
100,University of York,UK,31.7,33.2,89.4,33.3,73.6,52.6
102,"Royal Holloway,University of London",UK,30.4,21.2,97.5,33.1,92.6,52.5
103,University of Arizona,US,39.4,44.4,74.6,82.3,38,52.4
103,"Rutgers, the State University of NewJersey",US,43.4,50.1,70.4,35.4,31.4,52.4
103,Stockholm University,Sweden,28.6,41.4,88.7,31.5,53.4,52.4
106,Eindhoven University of Technology,Netherlands,37.3,47.9,63.6,100,68.7,52.3
106,University of Montreal,Canada,45.7,42.9,59.3,90.9,75.6,52.3
108,"University of Maryland, College Park",US,39,37.2,84.4,32.1,42.4,52.2
109,University of Alberta,Canada,44.6,47.8,59.3,46.8,70.1,52
109,Chinese University of Hong Kong,HongKong,45.5,54.7,52.4,46.4,66.9,52
112,University of Sheffield,UK,40.6,38.1,72.4,42.7,71.6,51.8
112,University of Virginia,US,49.7,33.9,77.5,49.4,30.2,51.8
114,University of New South Wales,Australia,38.8,50.1,58,52.6,83.5,51.7
114,Université Paris-Sud,France,35.9,32.1,86.3,28.8,62,51.7
114,"Queen Mary,University of London",UK,31,29.2,87,37.7,88,51.7
117,University of Glasgow,UK,34.5,36.6,79.2,40.8,73.7,51.6
117,KTH Royal Institute of Technology,Sweden,45,41.6,55.6,100,86.2,51.6
117,University of StAndrews,UK,36.9,32.2,77.3,40.3,88.8,51.6
117,Technical University of Denmark,Denmark,38.9,26.9,78.7,98.7,77.4,51.6
121,University of Sussex,UK,29.5,32.2,86.3,31.3,80.1,51.2
121,University of Zürich,Switzerland,38,29.8,78.1,39.2,85.5,51.2
123,Lund University,Sweden,30.1,48.6,72,33.5,67.4,51.1
124,University of Geneva,Switzerland,31.4,33.9,77.2,38.3,96.7,51
125,Tokyo Institute of Technology,Japan,52.4,51.4,52,67.5,32.1,50.8
126,University of Cape Town,SouthAfrica,26.3,31,84.6,85.6,77.2,50.5
126,Dartmouth College,US,38.5,34.5,83.6,42.3,32.7,50.5
128,University of Florida,US,48,49.9,59.9,0,30.9,50.4
129,RWTH AachenUniversity,Germany,40.4,31.3,76,73.9,55.5,50.3
129,Trinity College Dublin,RepublicofIreland,33.1,25.2,85.4,30.8,85.9,50.3
131,Radboud University Nijmegen,Netherlands,29.7,46.1,73.1,42.5,58.6,50.2
132,Indiana University,US,45.8,37,71.5,0,38.3,50.1
132,Université de Lausanne,Switzerland,27.3,39.7,74.5,52.7,84.5,50.1
132,University of Massachusetts,US,40.7,38.9,74.6,52,33.1,50.1
135,Boston College,US,26.3,26.4,96.2,49.4,54.4,50
136,"University of California, SantaCruz",US,25.9,29.1,99.9,0,39.4,49.9
137,Lancaster University,UK,34.8,32.6,75.4,32.2,81.2,49.7
138,Aarhus University,Denmark,30.7,46.4,65.8,67.5,67.2,49.6
139,Colorado School of Mines,US,22.7,27.2,97.1,74.8,47.3,49.5
139,University of Leeds,UK,34.9,38.2,71.3,42.1,68.5,49.5
141,University of Warwick,UK,39.8,42.4,58.7,34.6,82.9,49.4
142,National Taiwan University,Taiwan,47.1,58.3,47.8,47.1,27.3,49.2
143,University of Utah,US,39.4,36.1,76.6,61.3,25.5,49.1
144,Osaka University,Japan,52.5,47.6,50.4,71.2,27.6,49
144,VU University Amsterdam,Netherlands,33.1,38.8,74.1,59.8,49.2,49
146,Arizona State University,US,33.8,35.9,83.6,31.4,28.6,48.9
146,University of Southampton,UK,33.2,31.4,75.4,38.6,79.1,48.9
148,"University of California, Riverside",US,25.9,25.8,91.8,37.6,62.2,48.7
148,University of Exeter,UK,29.2,32.8,78.3,37.2,76.7,48.7
150,University of Copenhagen,Denmark,33.9,32,73.1,43,76,48.5
150,Tohoku University,Japan,51.8,48.1,47.3,85.9,29.3,48.5
152,Albert Ludwigs Universität Freiburg,Germany,40.1,28.4,71.8,86.6,55.9,48.4
153,University of Birmingham,UK,42.8,39.6,57.5,36.7,72.2,48.3
