World Rank,Institution,Country,National Rank,Total Score,Alumni,Award,HiCi,N&S,PUB,PCP
83,University of Basel,Switzerland,4,25.6,20,16.4,24.9,18.6,37.5,34.1
83,University of Nottingham,U.K.,9,25.6,12,20.1,24,17.9,46.1,20.5
85,Ghent University,Belgium,1,25.5,5.3,13.4,17.7,19.6,55.3,30.2
85,Indiana University Bloomington,U.S.,47,25.5,10.7,21.7,27.1,20.4,39.7,19.9
85,Osaka University,Japan,3,25.5,9.3,0,27.1,29,53.3,20.6
85,The University of Queensland,Australia,3,25.5,13.1,0,21.7,22.5,60,26.5
85,University of Utah,U.S.,47,25.5,0,11.6,30.7,26.9,45.6,18.1
90,University of Rochester,U.S.,49,25.4,25.6,7.7,28,22.6,41.8,21.2
91,The University of Western Australia,Australia,4,25,14.1,14.2,25.8,14.8,45.8,27.3
92,McMaster University,Canada,4,24.9,13.1,19,24,16,44.7,21.6
92,Michigan State University,U.S.,50,24.9,9.3,0,36.9,18.7,51.5,18.6
92,Rice University,U.S.,50,24.9,16.9,21.9,21.5,24.1,29.5,30.9
92,University of Groningen,Netherlands,3,24.9,0,19,17.7,18.7,51.4,28.8
92,Weizmann Institute of Science,Israel,3,24.9,13.1,16.4,24,33.5,28.4,24.5
97,University of Strasbourg,France,4,24.7,26.2,26.3,17.7,18.5,34.6,20.3
97,University of Sydney,Australia,5,24.7,15.1,0,19.1,19.2,62.5,23.9
99,Case Western Reserve University,U.S.,52,24.6,31.6,10.9,21.7,20.6,39.2,22.6
100,University of Freiburg,Germany,4,24.3,19.3,19,15.9,24.4,37.2,24.2
101-150,Baylor College of Medicine,U.S.,53-67,,0,0,19.1,31.7,39.1,18.5
101-150,Catholic University of Leuven,Belgium,2/4/2014,,0,0,22.9,17.7,53.4,26
101-150,Catholic University of Louvain,Belgium,2/4/2014,,10.7,13.4,17.7,10.5,41,27.8
101-150,Emory University,U.S.,53-67,,0,0,32.4,23,50,17.3
101-150,Georgia Institute of Technology,U.S.,53-67,,13.1,0,26,19.3,43.4,25.1
101-150,Hokkaido University,Japan,4/7/2014,,12,16.4,14.5,16.8,42.8,18.4
101-150,Joseph Fourier University (Grenoble 1),France,5/6/2014,,0,15,10.2,22.9,40.4,18.8
101-150,London School of Economics and Political Science,U.K.,10/14/2014,,20.7,16.4,16.2,,28.9,26.8
101-150,Lund University,Sweden,4,,22,0,25.1,14.9,49.7,20.3
101-150,Mayo Medical School,U.S.,53-67,,0,0,25.1,14.9,45.9,24.9
101-150,Monash University,Australia,6/7/2014,,0,0,14.5,19.6,55,22.1
101-150,Nagoya University,Japan,4/7/2014,,22.7,14.2,16.2,21.6,44.1,20.3
101-150,National Taiwan University,Taiwan,1,,12,0,17.7,13.4,57.5,19.4
101-150,National University of Singapore,Singapore,1,,0,0,10.2,17.1,59.5,28.8
101-150,Oregon State University,U.S.,53-67,,10.7,0,26.1,20.8,33.9,21.8
101-150,Radboud University Nijmegen,Netherlands,4/7/2014,,16.9,0,7.2,17.3,50,31
101-150,Seoul National University,South Korea,1,,0,0,7.2,18,68,22.2
101-150,Swiss Federal Institute of Technology of Lausanne,Switzerland,5,,0,0,24,26.3,40.9,34.4
101-150,Tel Aviv University,Israel,4,,0,0,24,14,48.2,25.5
101-150,Texas A&M University - College Station,U.S.,53-67,,0,0,33.9,21.3,50.3,19.7
101-150,The University of Georgia,U.S.,53-67,,0,0,27,20.8,40.8,18.1
101-150,The University of Sheffield,U.K.,10/14/2014,,18.5,13.4,19.5,19,43.4,22.2
101-150,The University of Texas M. D. Anderson Cancer Center,U.S.,53-67,,0,0,21.7,20.2,41.3,28.4
101-150,Tohoku University,Japan,4/7/2014,,15.1,0,21.4,22.3,53,20.5
101-150,Tokyo Institute of Technology,Japan,4/7/2014,,13.1,0,21.7,18.9,38.6,24.8
101-150,Tufts University,U.S.,53-67,,15.1,16.4,22.9,15.8,34.9,24.7
101-150,University Libre Bruxelles,Belgium,2/4/2014,,16.9,16.4,12.5,12.4,33.3,26
101-150,University of Alberta,Canada,5/6/2014,,12,0,21.4,20.1,54.1,21.1
101-150,University of Amsterdam,Netherlands,4/7/2014,,5.3,0,19.1,17.7,52.4,26.2
101-150,University of Birmingham,U.K.,10/14/2014,,19.3,9.5,21.6,14.8,44.9,21
101-150,University of Bonn,Germany,5/8/2014,,16,19.9,14.7,19.9,40.7,24.2
101-150,"University of California, Riverside",U.S.,53-67,,13.1,0,27.1,26.7,32.4,27.5
101-150,"University of California, Santa Cruz",U.S.,53-67,,0,0,28.9,35,30.8,33
101-150,University of Frankfurt,Germany,5/8/2014,,31.6,0,19.1,20.7,38.4,24.1
101-150,University of Goettingen,Germany,5/8/2014,,28.3,15,16.2,18.5,39.3,24.1
101-150,University of Iowa,U.S.,53-67,,0,0,30.7,21.8,43.9,17.9
101-150,University of Liverpool,U.K.,10/14/2014,,17.7,13.4,12.5,17,40.7,21
101-150,University of Massachusetts Amherst,U.S.,53-67,,14.1,0,33.9,16,36.5,22.6
101-150,University of Massachusetts Medical School - Worcester,U.S.,53-67,,0,20.1,14.5,26.6,27.4,22.9
101-150,University of Montreal,Canada,5/6/2014,,12,0,14.5,18.2,49.8,20.1
101-150,University of Muenster,Germany,5/8/2014,,20,13.4,12.2,15.9,35.2,20.6
101-150,University of New South Wales,Australia,6/7/2014,,0,0,20.4,15.5,55,21.5
101-150,University of Paris Diderot (Paris 7),France,5/6/2014,,12,9.5,12.5,28.5,44.9,18
101-150,University of Pisa,Italy,1/2/2014,,14.1,23.2,14.5,6.4,37.3,21
101-150,University of Roma - La Sapienza,Italy,1/2/2014,,12,13.4,10.2,13.8,51.5,16.9
101-150,University of Sao Paulo,Brazil,1,,0,0,10.2,11.6,72.7,14.7
101-150,University of Sussex,U.K.,10/14/2014,,0,22.6,20.5,11.6,28.1,26.2
101-150,University of Virginia,U.S.,53-67,,0,0,33.9,27.3,44.5,19.2
101-150,University of Wageningen,Netherlands,4/7/2014,,0,0,28.2,18.6,40,31.7
