World Rank,Institution,Country,Nat. Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score
69,University of Oslo,Norway,1,18.5,32.8,17.7,16.5,50.6,25.6,28.7
71,Ecole Normale Superieure - Paris,France,3,51,28.2,12.4,16.7,26.7,58.3,28.5
71,University of Florida,U.S.,43,17.7,0,37.4,22.5,61,17.6,28.5
73,Uppsala University,Sweden,2,18.5,27.6,14.5,24.7,47.9,24.7,28
74,Leiden University,Netherlands,2,18.5,9.5,28.9,23,47.9,33.1,27.8
75,Boston University,U.S.,44,12,11.6,29.8,24.7,50.8,20.9,27.4
76,University of Helsinki,Finland,1,13.1,16.4,24,19.9,51.1,28.8,27.2
77,Technion-Israel Institute of Technology,Israel,2,20.7,37.9,16.2,16.8,34.6,26.7,26.6
78,University of Arizona,U.S.,45,15.1,0,29.8,32.4,49,20.4,26.5
79,Arizona State University - Tempe,U.S.,46,0,20.1,27.1,27.5,42.5,18.9,26.1
79,Moscow State University,Russia,1,43.1,33.3,0,8.8,48.1,30.5,26.1
81,Aarhus University,Denmark,2,12,22.2,7.2,25.6,50.9,28.5,26
82,Stockholm University,Sweden,3,25.1,27.6,16.2,19.1,38.3,23.5,25.8
83,University of Basel,Switzerland,4,20,16.4,24.9,18.6,37.5,34.1,25.6
83,University of Nottingham,U.K.,9,12,20.1,24,17.9,46.1,20.5,25.6
85,Ghent University,Belgium,1,5.3,13.4,17.7,19.6,55.3,30.2,25.5
85,Indiana University Bloomington,U.S.,47,10.7,21.7,27.1,20.4,39.7,19.9,25.5
85,Osaka University,Japan,3,9.3,0,27.1,29,53.3,20.6,25.5
85,The University of Queensland,Australia,3,13.1,0,21.7,22.5,60,26.5,25.5
85,University of Utah,U.S.,47,0,11.6,30.7,26.9,45.6,18.1,25.5
90,University of Rochester,U.S.,49,25.6,7.7,28,22.6,41.8,21.2,25.4
91,The University of Western Australia,Australia,4,14.1,14.2,25.8,14.8,45.8,27.3,25
92,McMaster University,Canada,4,13.1,19,24,16,44.7,21.6,24.9
92,Michigan State University,U.S.,50,9.3,0,36.9,18.7,51.5,18.6,24.9
92,Rice University,U.S.,50,16.9,21.9,21.5,24.1,29.5,30.9,24.9
92,University of Groningen,Netherlands,3,0,19,17.7,18.7,51.4,28.8,24.9
92,Weizmann Institute of Science,Israel,3,13.1,16.4,24,33.5,28.4,24.5,24.9
97,University of Strasbourg,France,4,26.2,26.3,17.7,18.5,34.6,20.3,24.7
97,University of Sydney,Australia,5,15.1,0,19.1,19.2,62.5,23.9,24.7
99,Case Western Reserve University,U.S.,52,31.6,10.9,21.7,20.6,39.2,22.6,24.6
100,University of Freiburg,Germany,4,19.3,19,15.9,24.4,37.2,24.2,24.3
